,u1,u2,u3,u4,u5
0,1.0,1.0,1.0,1.0,1.0
1,5.000000049870537,5.000000049870537,5.000000049870537,5.000000049870537,5.000000049870537
2,5.000000049843423,5.000000049843423,5.000000049843423,5.000000049843423,5.000000049843423
3,5.000000049797071,5.000000049797071,5.000000049797071,5.000000049797071,5.000000049797071
4,5.0000000497098815,5.0000000497098815,5.0000000497098815,5.0000000497098815,5.0000000497098815
5,5.000000049430654,5.000000049430654,5.000000049430654,5.000000049430654,5.000000049430654
6,1.0122068112822661e-07,1.0122068108237669e-07,1.0122067654865943e-07,1.0122068250386717e-07,1.0122068129074534e-07
7,-3.096000487775427e-11,-3.095858990752182e-11,-3.096027161859376e-11,-3.096065292063936e-11,-3.096055859505035e-11
8,-3.0959513551459173e-11,-3.096453747327593e-11,-3.0963209989688464e-11,-3.096490740305718e-11,-3.0964012719424445e-11
9,-3.096298142631798e-11,-3.096316422280426e-11,-3.096456615043001e-11,-3.096324359995581e-11,-3.096363678587366e-11
10,-3.096331774583188e-11,-3.0959485145382107e-11,-3.096314953186482e-11,-3.096307928911657e-11,-3.096410718053872e-11
11,-3.09630769580819e-11,-3.0962852528232195e-11,-3.096323708119025e-11,-3.095826297846332e-11,-3.0959061642441154e-11
12,-3.0959449217612763e-11,-3.0963031123441676e-11,-3.096454902003568e-11,-3.096479985020167e-11,-3.0963378732204084e-11
13,-3.0963466322206946e-11,-3.095870056246675e-11,-3.095825191960116e-11,-3.09633027838419e-11,-3.096318127188342e-11
14,-3.096397549063235e-11,-3.096366063834131e-11,-3.0963564293405905e-11,-3.095869600881101e-11,-3.09634656987907e-11
15,-3.096372287152616e-11,-3.0963585110087617e-11,-3.096401992936889e-11,-3.096288753440984e-11,-3.095948660903519e-11
16,-3.0963536592047015e-11,-3.096301402014579e-11,-3.096366410776841e-11,-3.096372536519777e-11,-3.096396594965985e-11
17,-3.096354865380942e-11,-3.095810641966961e-11,-3.095890010986998e-11,-3.095898202134411e-11,-3.0959237500053384e-11
18,-3.095810910306999e-11,-3.096491222775685e-11,-3.096365233062231e-11,-3.0964727954045107e-11,-3.096409738206159e-11
19,-3.0964544059804126e-11,-3.096331727149343e-11,-3.096384618597075e-11,-3.096321795857443e-11,-3.095919194998976e-11
20,-3.096490116889469e-11,-3.096289788854059e-11,-3.096409880509679e-11,-3.0962881029196805e-11,-3.096321652201317e-11
21,-3.095809719039862e-11,-3.0963755248513534e-11,-3.096384233705304e-11,-3.09635026565124e-11,-3.095823419289564e-11
22,-3.096376217387476e-11,-3.0962966952238826e-11,-3.095928731912336e-11,-3.095945543824258e-11,-3.095930668568466e-11
23,-3.096385144435129e-11,-3.0963752294062614e-11,-3.0958769571948266e-11,-3.096397737443362e-11,-3.096474352589881e-11
24,-3.0959485958513884e-11,-3.09580180300875e-11,-3.09635554571582e-11,-3.096463201570537e-11,-3.0963266842539884e-11
25,-3.096349974271906e-11,-3.0963381158106445e-11,-3.096312138326592e-11,-3.0963379816406257e-11,-3.096341991833411e-11
26,-3.09635258855638e-11,-3.0963023561124905e-11,-3.0963069504191964e-11,-3.095929410893946e-11,-3.0963299192422205e-11
27,-3.09586725900507e-11,-3.095904837451707e-11,-3.0965063311329583e-11,-3.0958033778124056e-11,-3.096459602019324e-11
28,-3.096452325667494e-11,-3.0962959701616946e-11,-3.0964803536489056e-11,-3.0958836616280255e-11,-3.0959386591384775e-11
29,-3.0962997201459586e-11,-3.0963086377088273e-11,-3.096301315278405e-11,-3.096348240903683e-11,-3.096456239637337e-11
30,-3.0964956408995376e-11,-3.095822814846853e-11,-3.0963479142877783e-11,-3.095949337174624e-11,-3.0963824014036324e-11
